#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-75377.957431,47,26.687777
-82875.868224,50,26.735419
-169747.72158,108,26.830413
-187536.878967,119,26.995738
-145854.617432,92,27.079331
-204834.148312,130,27.259289
-70379.261175,45,27.301305
-23984.073375,15,27.319858
-34486.4669,22,27.34714
-41885.956184,26,27.373228
-79767.532857,49,27.421691
-139949.399434,90,27.500723
-38785.352716,25,27.581985
-70685.016719,44,27.626299
-61973.864968,38,27.660828
-127544.359311,78,27.731322
-85166.153331,54,27.779791
-159551.227178,98,27.931865
-44786.423559,28,27.963874
-205418.827284,133,28.079065
-14995.402387,9,28.089633
-43088.91146,27,28.179511
-105272.799304,66,28.240219
-67884.216344,44,28.282653
-329591.90792,208,28.514824
-252600.920074,158,28.644684
-54672.790977,35,28.731886
-45689.448181,29,28.7646
-302106.20011,190,28.939221
-276012.026159,174,29.153228
-9297.332848,6,29.162089
-235041.378696,148,29.351074
-61076.196271,39,29.389594
-109058.108883,66,29.449757
-91776.473773,59,29.50711
-154547.226716,100,29.655974
-66077.773803,42,29.696014
-129563.687246,81,29.770165
-108775.529614,69,29.836237
-110459.868088,69,29.957413
-123161.651162,79,30.031051
-69378.567956,41,30.06913
-590290.783623,372,30.489352
-31393.933643,20,30.511006
-106569.537275,68,30.574007
-37492.849289,25,30.602312
-43885.776037,28,30.633871
-150861.88988,96,30.787758
-91767.456747,56,30.839608
-113259.433555,72,30.908575
-71075.541606,45,30.954438
-60078.929744,39,30.995014
-156346.474572,99,31.144874
-14797.688883,9,31.157817
-39977.796447,25,31.19143
-112759.897703,71,31.265324
-41992.838305,25,31.288419
-107967.248774,70,31.41815
-182147.392395,114,31.524954
-139851.850835,88,31.609042
-143255.383578,91,31.757462
-580220.451377,365,32.137067
-93166.369219,60,32.194082
-423227.330975,271,32.493358
-127359.993341,77,32.614471
-56187.392844,36,32.649253
-10099.708689,6,32.657946
-114358.331751,73,32.720629
-120476.684478,74,32.837219
-65889.420282,42,32.879026
-73377.17343,45,32.921569
-23990.426598,15,32.937407
-172137.729958,105,33.028092
-37590.078581,23,33.04995
-148357.152416,92,33.177319
-33891.855128,23,33.201996
-111760.842787,69,33.266511
-50186.457608,31,33.300035
-39386.99008,25,33.328486
-160752.775315,101,33.471968
-163437.741075,103,33.563097
-127652.596822,82,33.644545
-132757.797292,83,33.776248
-68979.903036,44,33.820084
-160536.562454,102,33.914645
-60682.42098,39,34.015136
-87060.61058,57,34.068799
-102568.546237,63,34.127056
-44485.567027,28,34.153762
-48484.832618,30,34.182838
-73772.264074,45,34.22546
-96365.281447,63,34.342201
-29296.170553,17,34.364043
-120459.963844,74,34.436015
-390661.489722,247,34.711594
-70280.385139,45,34.750727
-43784.614362,27,34.779639
-48079.922194,30,34.812676
-61180.284604,37,34.846389
-83975.574238,54,34.951862
-27795.494184,18,34.968646
-93964.891121,59,35.024212
-28088.189124,19,35.044763
-124762.468733,78,35.127084
-80476.885861,50,35.2457
-122173.978302,78,35.318457
-55091.746125,35,35.354806
-53786.243359,33,35.390045
-270309.419776,172,35.602049
-38291.047212,23,35.629442
-214523.712444,133,35.758021
-163555.506263,104,35.913036
-87574.761785,55,35.965985
-31378.945706,21,35.99243
-31189.596702,19,36.014631
-128455.184706,83,36.142668
-48382.287726,31,36.174434
-578585.309198,368,36.562016
-95376.440988,59,36.616186
-44986.875751,28,36.645748
-494626.936096,314,37.03582
-210229.047898,134,37.15207
