#{"t_start": 1702338514.678338, "env_id": "ContactProcess"}
r,l,t
-52093.427352,33,28.515927
-77686.685443,49,28.562175
-42487.531453,27,28.589423
-10999.508432,6,28.597816
-11199.680219,7,28.607089
-14296.248857,8,28.616561
-19098.247979,12,28.628195
-22498.913372,14,28.64411
-32198.460095,20,28.664638
-50994.339277,33,28.701592
-19699.496833,12,28.714761
-32494.005693,22,28.736511
-28697.850988,19,28.762053
-59886.016181,38,28.797887
-51687.498043,34,28.829827
-31699.202978,19,28.85105
-50594.178411,31,28.88122
-63281.755108,40,28.920695
-14398.027086,9,28.932347
-57986.365609,37,28.967467
-19395.977005,12,28.98068
-23798.029926,15,28.996037
-77687.184895,53,29.050897
-42894.060901,29,29.076446
-74588.854017,49,29.121021
-24393.583192,16,29.137761
-35793.032255,23,29.15912
-117276.717096,77,29.230362
-17098.911634,10,29.242033
-34395.1737,22,29.265908
-44696.039037,30,29.29764
-74892.010943,51,29.34192
-73789.039523,47,29.384619
-30695.812312,19,29.403229
-45596.096479,29,29.432716
-61388.571174,40,29.468966
-30596.365725,19,29.488004
-32496.90131,20,29.510509
-43192.401262,28,29.536546
-15396.90217,10,29.547745
-20099.355431,12,29.56294
-15896.187378,10,29.574357
-34683.036814,25,29.599635
-29594.253375,19,29.619021
-29292.232868,18,29.635468
-51988.351445,35,29.667062
-69481.301021,44,29.706913
-36398.174201,24,29.73081
-22297.935396,15,29.747242
-64193.810357,41,29.788138
-28795.405628,18,29.807064
-26496.535154,17,29.82739
-5100.000398,3,29.830925
-20399.053003,14,29.849802
-47789.775619,31,29.878782
-59386.355513,39,29.917307
-39995.706945,25,29.94176
-22996.333745,16,29.959027
-21592.807318,13,29.972896
-10999.839441,7,29.981956
-69992.709484,45,30.028617
-18099.485919,11,30.042453
-37397.330976,24,30.06523
-49995.574772,34,30.09831
-20997.558373,13,30.113047
-50196.452043,33,30.148712
-41595.180503,27,30.173224
-32098.09592,19,30.193529
-27293.731219,18,30.216815
-51194.95259,33,30.24959
-27695.724519,19,30.268723
-71089.264525,48,30.319349
-27694.414486,19,30.33806
-24794.258521,17,30.356477
-28295.568929,19,30.376386
-61391.225291,39,30.411483
-68584.129845,45,30.452898
-45799.031451,30,30.481731
-44795.922688,29,30.50837
-23794.172978,17,30.525859
-40590.994173,27,30.556792
-15599.528502,11,30.570222
-36797.021398,24,30.592762
-19497.820737,13,30.604141
-17999.850387,12,30.61879
-35398.262988,22,30.641202
-51487.427212,33,30.674097
-21490.834091,15,30.690327
-42192.275777,28,30.717042
-14796.199638,10,30.727792
-44390.873567,31,30.761241
-15598.916127,11,30.77728
-26797.076127,18,30.795814
-70891.356409,49,30.849751
-27698.038943,17,30.867715
-37497.95095,24,30.888819
-29394.281942,19,30.907684
-14499.604885,10,30.920948
-38198.081224,26,30.951334
-15499.919792,10,30.961918
-60192.28017,38,30.997104
-22097.222641,14,31.015963
-61292.218184,41,31.057528
-13799.733625,9,31.067798
-59189.19737,42,31.113624
-45997.498671,29,31.139641
-23895.387098,16,31.155724
-21998.742149,15,31.168329
-37792.869874,25,31.194676
-21597.768823,14,31.211134
-49193.102799,32,31.242644
-37792.8068,25,31.264546
-49893.11689,34,31.297533
-23794.268077,15,31.313982
-77096.351394,49,31.360567
-61692.651802,42,31.399759
-53893.800588,36,31.431678
-41398.606502,27,31.460161
-19398.089049,12,31.473175
-34695.774078,23,31.497229
-21498.786902,14,31.511703
-40392.245814,27,31.543661
-17998.189705,12,31.556933
-19898.761507,13,31.571448
-18999.562927,12,31.585055
-25195.340615,17,31.604496
-9799.167091,6,31.611594
-22899.420533,14,31.624057
-31598.964865,20,31.646821
-24198.343827,16,31.664768
-18298.902555,12,31.677571
-19498.585845,13,31.692424
-56996.187523,37,31.727828
-14095.391157,9,31.737547
-37090.954911,23,31.759003
-14997.180786,11,31.772075
-20497.737441,14,31.785548
-16499.938199,11,31.799166
-39494.816747,26,31.825136
-10398.270401,7,31.833491
-25196.627732,17,31.853148
-23696.162056,16,31.874537
-15597.785378,11,31.889418
-13895.375694,8,31.898515
-50688.148386,32,31.929465
-35097.491836,23,31.952813
-41694.439366,26,31.97992
-37596.260444,23,32.000117
-15696.40295,12,32.015578
-19198.293078,12,32.028479
-12798.70248,8,32.039656
-19199.129585,13,32.055532
-26498.751149,16,32.071426
-27696.823013,18,32.091618
-17099.727375,10,32.102771
-47596.897575,30,32.131439
-12998.928901,9,32.144344
-42297.34407,27,32.17266
-17499.052054,11,32.185254
-18397.034272,14,32.202818
-35299.124556,24,32.229656
-57294.932641,37,32.265325
-26797.994792,18,32.286821
-63095.187231,42,32.325709
-14597.84899,10,32.340077
-90483.742213,58,32.393386
-49293.67318,34,32.433284
-11597.706639,8,32.442079
-30598.621664,19,32.462806
-31494.441937,22,32.485653
-30693.781902,20,32.509465
-19395.315835,13,32.525297
-20299.333231,14,32.544124
-34796.594942,24,32.569954
-10498.542383,8,32.581652
-25297.549094,16,32.599704
-20498.60101,13,32.614119
-31497.857024,22,32.636109
-28494.44803,22,32.660918
-13595.921578,9,32.669612
-28196.35466,19,32.687407
-49882.278987,31,32.721597
-23098.498966,15,32.73772
-33897.343507,23,32.762798
-41991.353503,29,32.787472
-14397.394932,10,32.799767
-55594.369704,37,32.833624
-43496.214691,29,32.8627
-20596.32346,14,32.877324
-17298.015118,11,32.891031
-47288.020963,33,32.922195
-37796.645211,25,32.948464
-18597.823501,12,32.967587
-74179.429725,48,33.013942
-10399.876258,7,33.023628
-32599.466816,20,33.044183
-9299.837439,6,33.052366
-24698.734887,17,33.070653
-24896.412302,16,33.08689
-30898.994756,20,33.108417
-35395.677844,22,33.131923
-24198.041029,15,33.145771
-29194.738553,18,33.16316
-27096.289045,18,33.184561
-38599.603163,26,33.21148
-9698.974047,6,33.219574
-13796.589185,9,33.232443
-28398.251943,20,33.256151
-46887.385142,30,33.283474
-25898.224228,17,33.298417
-24390.633637,17,33.318474
-24298.559472,15,33.334577
-86190.977894,55,33.384725
-24696.165717,16,33.403319
-62086.819157,40,33.441317
-26697.141023,18,33.459714
-30294.012942,20,33.479141
-30599.337944,20,33.50273
-24298.187476,16,33.519253
-21098.983096,13,33.53326
-29698.607038,19,33.550718
-43493.464054,27,33.579188
-55994.106659,37,33.614471
-16397.528796,10,33.626626
-65381.341347,42,33.666878
-28898.316693,19,33.688434
-30895.873273,19,33.709869
-41391.915083,26,33.734862
-52094.116373,34,33.773614
-24499.044086,16,33.793843
-23995.922579,16,33.810121
-30395.062977,20,33.834551
-21999.336158,13,33.848701
-15597.635414,11,33.864709
-20596.674501,14,33.881122
-51397.72924,31,33.912327
-28096.223287,18,33.932637
-26098.059764,16,33.947657
-13399.866997,8,33.956804
-15796.019814,10,33.967884
-37789.602567,25,33.995046
-14998.815262,9,34.006183
-23299.961957,14,34.02145
-28893.340615,19,34.042102
-28697.107642,19,34.069432
-18399.603407,12,34.085412
-12798.538695,8,34.096288
-26299.181154,18,34.115976
