#{"t_start": 1702320886.668968, "env_id": "ContactProcess"}
r,l,t
-55122.887832,34,38.60466
-140756.535056,91,38.681191
-44424.440453,29,38.710843
-177903.893854,117,38.817722
-80015.199991,53,38.918399
-49201.171474,32,38.950832
-91842.537858,59,39.006711
-112592.001071,73,39.076433
-126011.174215,78,39.205878
-58200.555724,35,39.238916
-159050.617317,101,39.335663
-35643.697838,24,39.360092
-85224.578271,52,39.406814
-100004.197421,64,39.520449
-63240.607945,39,39.558316
-150257.593106,95,39.646366
-34108.068096,24,39.672117
-37655.738731,25,39.701257
-93182.249377,60,39.820828
-162350.883909,101,39.903929
-34049.552845,23,39.926557
-7268.354341,5,39.932931
-47451.900658,30,39.960452
-65913.696012,41,40.0007
-211648.42424,132,40.180472
-62725.771055,40,40.224079
-50034.097486,33,40.259429
-29875.772655,19,40.277061
-59982.495086,38,40.312417
-54690.993598,36,40.404388
-193584.682944,126,40.518973
-47589.435271,30,40.550621
-60492.803419,41,40.590374
-59851.006313,36,40.678192
-55546.926539,34,40.71099
-333814.997467,211,40.893898
-29740.424565,19,40.966126
-56496.479286,36,41.0008
-202115.915168,127,41.118859
-24579.683145,16,41.136639
-67709.83455,43,41.17765
-108719.315586,71,41.30645
-44216.425369,28,41.335877
-56685.646025,34,41.371215
-45409.036761,28,41.400552
-245771.50909,152,41.592337
-169047.074969,107,41.686507
-144053.549562,89,41.774175
-202786.966525,127,41.953175
-85973.11203,54,42.003773
-126181.014937,80,42.0775
-46545.860148,30,42.171438
-103043.037903,65,42.236286
-85285.63844,53,42.281531
-88931.676411,58,42.339427
-66169.353935,43,42.382557
-124596.885631,78,42.517385
-135214.260648,85,42.60143
-120808.006064,76,42.672179
-183685.002619,115,42.834751
-187901.262158,122,42.946493
-113605.38458,70,43.066854
-35762.447227,22,43.088356
-45042.829578,28,43.115886
-89768.641085,56,43.173682
-76899.887185,48,43.219018
-133115.853416,85,43.302789
-48726.842964,29,43.386885
-135656.351585,88,43.476444
-22379.156871,14,43.490224
-82894.780517,53,43.542018
-151423.007109,94,43.684338
-67565.691775,42,43.722798
-61885.307631,40,43.763415
-249853.48243,159,43.908301
-59848.883623,37,44.005677
-108529.750779,69,44.069967
-75980.739296,48,44.11796
-101751.306454,63,44.1776
-50246.886018,32,44.211045
-58116.110311,37,44.312711
-58325.216339,36,44.350264
-84672.12736,55,44.403798
-166499.876071,106,44.504105
-44325.240001,28,44.534991
-21285.251201,12,44.609982
-143520.956794,93,44.69721
-56237.636689,37,44.734927
-34656.974658,22,44.759101
-260156.032274,161,44.955728
-37248.268935,24,44.980583
-60835.189916,40,45.020474
-39245.625187,26,45.048887
-76349.908068,49,45.093819
-87910.894141,55,45.147066
-145461.729054,93,45.292784
-89044.005962,58,45.344509
-49244.817174,30,45.380892
-19469.949079,13,45.396502
-29759.127491,19,45.419083
-85765.439593,55,45.525689
-137037.617467,88,45.609101
-61835.110137,39,45.648746
-166727.895863,104,45.747147
-51422.630747,30,45.833482
-116093.745048,71,45.898425
-164521.551691,106,45.996716
-79314.423375,49,46.039231
-40915.507752,26,46.127763
-256034.456519,165,46.280097
-51787.753161,33,46.316333
-56847.090582,36,46.354529
-92286.898082,57,46.465169
-45322.902859,29,46.494662
-129430.150519,81,46.573206
-221753.924847,141,46.76818
-52202.890051,34,46.805049
-158050.001298,101,46.897497
-56009.662767,33,46.928958
-81960.062019,54,47.041261
-89224.161454,56,47.096141
-140932.267086,88,47.181882
-44416.539213,29,47.210238
-43443.388166,28,47.239098
-78631.073509,50,47.341899
-82486.929688,53,47.393879
-20689.770575,13,47.409844
-30768.187523,20,47.431372
-160053.988071,104,47.530461
-92050.402999,57,47.587182
-24777.340185,16,47.669707
-63785.871701,40,47.710776
-188511.233238,122,47.828432
-33474.624652,22,47.854654
-123760.31092,78,47.983357
-34962.571644,23,48.00899
-106761.339362,65,48.07176
-75155.341188,49,48.115008
-13579.069364,9,48.126861
-91594.803839,58,48.182824
-124386.348177,78,48.309438
-53545.103225,34,48.346324
-183178.330502,116,48.452272
-144986.167888,92,48.600049
-98039.964195,58,48.654872
-94626.698487,60,48.712806
-33442.578586,21,48.735867
-62342.684694,37,48.77289
-159434.4383,102,48.93357
-20977.117323,13,48.950569
-51247.471107,35,48.987931
-43156.718646,28,49.019924
-76675.285086,49,49.069421
-56612.66892,36,49.103864
-72299.798184,46,49.209816
-253484.018847,160,49.357525
-146167.420001,95,49.500834
-39826.141448,25,49.526741
-25176.738529,15,49.542418
-8995.897815,5,49.548946
-72428.927063,45,49.594549
-74013.965851,48,49.642725
-156176.890527,104,49.74177
-31688.873008,21,49.825272
-176468.223687,115,49.928875
-160147.884306,105,50.033451
-79763.648494,53,50.142065
-17886.044438,11,50.157933
-146506.094985,93,50.249294
-210749.915642,137,50.440775
-243966.10216,149,50.572427
-100356.181777,63,50.635551
-22087.410752,14,50.656189
-77315.527931,51,50.763673
-13376.94334,8,50.772342
-56909.559742,36,50.809736
-114722.483855,75,50.883038
-177724.203877,112,51.047193
-63326.081123,42,51.091514
-18563.472742,11,51.104457
-37571.983982,23,51.13234
-191284.547909,123,51.246365
-248079.170949,158,51.452107
-298322.742578,190,51.694305
-24667.267813,16,51.71232
-59228.519092,37,51.748394
-77305.855323,50,51.799416
-142888.594126,92,51.886011
-89867.519412,57,52.0031
-88163.422224,57,52.061379
-31860.110706,21,52.084611
-106343.50083,66,52.151617
-32150.006908,19,52.171302
-151990.063204,98,52.326242
-141599.689303,90,52.415976
-49649.600649,29,52.447264
-112235.388167,69,52.516712
-59651.227701,37,52.606561
-221597.811179,141,52.741391
-63594.417361,39,52.781727
-153984.885089,96,52.929631
-49027.530786,32,52.958188
-33939.416743,23,52.983257
-98222.554629,63,53.044226
-175977.390573,110,53.19957
-98820.978369,64,53.256967
-18451.589506,12,53.269953
-39128.708559,26,53.299526
-46349.802306,29,53.326387
-128794.061721,80,53.399683
-31768.527587,19,53.41939
-143157.497084,89,53.553291
-303485.219344,197,53.775928
-88435.466699,54,53.824221
-18486.423309,12,53.83974
-87347.502949,55,53.890175
-141017.853936,90,53.971655
-102986.980492,65,54.091457
-156882.574341,98,54.181056
-56323.47501,38,54.22129
-119760.36227,77,54.291175
-79964.324017,51,54.396936
-198269.8873,126,54.509977
-143910.459139,91,54.599439
-154156.979745,99,54.741089
-50711.174359,32,54.77335
-74522.497975,46,54.817934
-70726.19616,46,54.860723
-46442.705942,30,54.888105
-52326.415297,34,54.981038
-116888.513204,76,55.048591
-85020.229325,54,55.097285
-73795.859771,47,55.142727
-189431.321907,119,55.303528
-93745.935063,59,55.360379
-47947.671346,30,55.393811
-112449.848724,70,55.462073
-69697.153779,43,55.560673
-21569.60172,14,55.579669
-94883.063208,62,55.635978
-21089.875958,12,55.648848
-99378.998574,64,55.714258
-107824.02441,69,55.783839
-113106.117092,74,55.910321
-57918.481677,36,55.94724
-111189.492236,72,56.014465
-53809.093999,36,56.049358
-77380.356714,51,56.101076
-98680.377238,64,56.221917
-101086.358367,66,56.284267
-195604.132967,123,56.406318
-170166.666482,108,56.564465
-71545.517616,45,56.610093
-98269.716771,61,56.667939
-270285.462073,170,56.889793
-153696.997054,96,56.980822
-105308.92508,65,57.103542
-110272.196972,70,57.168471
-39461.107426,27,57.193608
-38835.131078,24,57.2221
-43248.835393,28,57.251534
-72003.028195,44,57.291903
-37242.312837,25,57.32038
-38645.452404,23,57.405083
-40737.133583,25,57.430191
-191209.612189,122,57.540839
-45947.375657,28,57.571477
-96307.294996,61,57.63168
-107170.549061,67,57.757043
-153174.387264,97,57.848985
-170267.295868,111,58.016379
