#{"t_start": 1702284563.918493, "env_id": "ContactProcess"}
r,l,t
-45286.199227,30,18.168521
-83786.137772,56,18.223382
-84487.322688,55,18.269189
-40895.66103,27,18.296959
-34390.935827,22,18.317516
-33497.745778,22,18.342636
-90085.428797,60,18.396145
-29395.002067,19,18.415129
-37697.58289,23,18.442453
-41589.103911,28,18.471972
-29496.423408,20,18.490631
-21396.10283,14,18.506037
-34195.883978,22,18.530008
-36497.62071,23,18.55263
-42394.498031,26,18.57857
-35692.753157,23,18.601162
-64591.354344,42,18.642686
-97288.575372,62,18.702579
-13995.448126,9,18.716922
-55585.535977,36,18.750351
-80479.120306,52,18.799641
-17399.08939,11,18.814147
-93581.870351,61,18.876316
-67375.932573,42,18.920099
-92288.54746,60,18.977678
-77188.656095,51,19.024196
-61994.110629,40,19.06054
-28693.176389,18,19.080239
-36697.022012,24,19.107993
-38293.84871,25,19.134113
-26399.115166,16,19.149822
-46595.81665,29,19.178808
-34293.956983,22,19.204017
-80093.923661,52,19.251814
-30788.296665,21,19.271413
-59291.334616,38,19.306221
-31392.07776,21,19.326704
-15196.809335,9,19.337009
-23199.19639,15,19.352682
-78583.21343,52,19.400675
-60084.385152,39,19.43647
-20398.315637,13,19.452874
-64682.726229,40,19.48801
-149883.259167,98,19.571027
-51693.672924,34,19.604528
-62788.6623,41,19.639967
-43699.025475,27,19.664354
-24897.463835,17,19.686973
-165277.148594,108,19.787167
-37497.532591,24,19.813437
-47494.908316,29,19.84395
-78186.196042,51,19.893659
-37192.392999,24,19.917605
-118775.671544,76,19.986116
-22394.509474,15,20.003935
-46694.81205,29,20.032796
-102684.384049,65,20.089201
-35592.202646,23,20.112951
-26995.435133,18,20.130926
-22498.349952,15,20.147892
-44699.091738,28,20.178182
-22197.959404,15,20.198683
-19994.441388,14,20.215435
-70792.504574,48,20.261311
-23698.035559,15,20.281816
-28496.60912,20,20.306983
-17696.718085,11,20.320825
-43494.714464,28,20.345977
-14998.203878,10,20.358421
-25496.890268,16,20.372626
-64299.520527,40,20.408635
-74991.088138,48,20.456401
-31989.85621,21,20.478858
-25797.378301,16,20.496933
-20897.415804,13,20.511279
-53595.670402,36,20.550854
-85887.207162,56,20.603959
-22197.331867,16,20.621039
-20796.281645,14,20.637574
-30192.592954,19,20.657788
-35296.904248,24,20.68628
-42692.847858,29,20.720613
-42489.363836,29,20.748927
-125470.264959,82,20.824281
-17393.393304,11,20.838267
-121471.722412,80,20.910753
-54988.980368,37,20.949548
-123778.716068,78,21.024251
-200058.868807,129,21.141835
-54388.535711,35,21.175278
-31191.872721,21,21.19827
-57993.41718,38,21.236698
-69682.821435,46,21.285329
-48285.462381,32,21.320902
-37186.851913,25,21.351188
-71179.148899,44,21.398949
-27293.964431,17,21.416713
-114667.720826,75,21.488444
-22097.759168,14,21.505291
-49290.772214,33,21.540413
-61479.975898,40,21.579074
-36694.655545,23,21.605429
-53889.409551,37,21.64175
-87389.561122,59,21.701238
-33395.271208,21,21.728117
-20592.847388,11,21.738526
-74382.321211,49,21.791862
-32693.063843,22,21.817375
-23797.875881,15,21.83553
-142470.10263,95,21.929801
-55887.375137,37,21.969601
-59891.038938,37,22.006756
-81970.874046,56,22.066133
-42693.40218,29,22.097447
-50094.544976,33,22.13216
-61189.560837,40,22.169032
-74088.349467,50,22.214435
-50292.11497,32,22.247726
-78196.320448,48,22.298963
-31894.661144,22,22.321988
-16698.112925,11,22.335312
-154077.68107,98,22.424582
-130377.854644,82,22.498093
-37893.696152,27,22.535041
-80184.904029,54,22.58737
-17098.393134,12,22.604708
-29496.191192,19,22.625876
-55492.42446,37,22.664277
-13897.577033,10,22.677708
-47194.055355,31,22.707529
-29596.872805,19,22.726353
-19298.953935,13,22.742719
-41590.576639,27,22.768767
-52796.111264,33,22.80642
-63980.558658,42,22.848418
-52795.818081,33,22.877308
-50193.274277,34,22.910406
-28894.438092,19,22.930264
-34794.581995,23,22.952163
-14499.601999,10,22.966768
-30993.829833,20,22.988227
-33794.409857,22,23.011869
-28496.689971,18,23.032067
-30394.624038,19,23.05248
-29695.222446,20,23.078226
-63783.619418,44,23.115632
-10799.431263,7,23.126175
-18093.367672,13,23.141902
-38195.798682,26,23.168141
-17799.150281,12,23.185578
-30796.234275,19,23.206995
-65982.607727,43,23.250417
-25487.199098,18,23.269576
-43995.711255,28,23.296649
-20996.542923,14,23.311528
-102790.028114,69,23.377318
-38491.550444,26,23.404891
-41392.197651,28,23.43321
-45087.830998,30,23.462937
-15399.606478,10,23.474297
-19996.685865,13,23.487566
-105378.160549,69,23.549792
-155674.526363,102,23.642932
-24197.647556,15,23.659257
-40095.374229,27,23.688161
-50494.79101,33,23.724185
-28799.405267,20,23.748088
-59490.643447,40,23.789223
-35695.111357,23,23.813213
-28596.469703,20,23.833645
-14199.01151,10,23.850309
-37396.380618,23,23.874578
-44694.928585,31,23.903212
-27894.614005,18,23.919738
-57987.27102,36,23.955233
-20697.89498,13,23.971253
-66393.725691,42,24.013753
-104376.044068,69,24.080076
-34697.924879,22,24.109286
-39797.796639,26,24.135405
-22593.725876,14,24.156509
-24899.193663,14,24.170453
-14698.405039,9,24.18026
-27497.107549,18,24.198849
-31395.016427,21,24.222227
-16992.823283,11,24.235178
-27999.321496,19,24.256185
-29894.14658,19,24.277272
-29989.648602,20,24.30105
-38899.125055,25,24.328356
-19397.787035,12,24.343866
-29297.169303,21,24.369083
-12699.11487,8,24.378442
-157979.77288,104,24.480833
-72480.619538,47,24.530761
-98674.702845,65,24.594888
-26293.410167,19,24.6154
-57394.740404,37,24.653871
-16998.522813,11,24.666584
-25693.048416,18,24.690212
-66387.011475,43,24.739757
-16798.650156,11,24.754385
-38697.42321,25,24.781512
-40894.910032,24,24.805533
-42895.040772,28,24.83555
-10796.506857,7,24.848317
-22297.431353,15,24.866161
-10997.273518,7,24.876969
-36093.932262,25,24.905987
-98091.485654,62,24.965404
-11097.462921,7,24.975605
-40187.582914,26,25.003664
-11099.66237,7,25.011359
-86891.555739,55,25.065402
-8399.904815,5,25.071597
-18898.613589,12,25.08261
-71486.531557,47,25.127502
-23097.877512,15,25.143204
-41093.539157,26,25.171461
-28093.142587,20,25.194617
-31798.119732,19,25.219197
-29997.966811,20,25.242673
-75096.858395,48,25.287461
-25796.09985,18,25.309472
-25299.078566,16,25.325123
-65790.841505,43,25.367775
-41092.784767,26,25.39363
-16499.986124,11,25.408546
-20994.127474,14,25.426996
-91790.303223,60,25.497111
-127568.693416,83,25.57939
-41697.910056,26,25.603454
-29296.226688,19,25.623441
-59689.250503,37,25.657561
-166976.953781,108,25.752998
-16599.334713,11,25.766476
-13399.856593,9,25.776862
-14199.621933,8,25.787004
-69692.212541,47,25.831401
-50691.544006,34,25.868194
-86786.601211,56,25.920195
-30896.247183,21,25.940726
-38891.402812,27,25.968538
